"","X","YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STATEFIP","PUMA","STRATA","GQ","PERNUM","PERWT","REPWTP","SEX","AGE","EDUC","EDUCD","INCTOT"
"1",5,2018,201801,220111,2018010000761,55,2018002201111,8,812,81208,3,1,55,1,2,32,6,63,6500
"2",112,2018,201801,220222,2018010009475,21,2018002202221,8,815,81508,3,1,21,1,2,80,7,71,9600
"3",123,2018,201801,220233,2018010010000,19,2018002202331,8,815,81508,4,1,19,1,2,44,6,65,8600
"4",169,2018,201801,220280,2018010013085,85,2018002202801,8,815,81508,3,1,85,1,2,68,6,63,10600
"5",199,2018,201801,220311,2018010015426,21,2018002203111,8,812,81208,3,1,21,1,2,34,6,64,30000
"6",245,2018,201801,220357,2018010019334,23,2018002203571,8,812,81208,3,1,23,1,2,56,6,65,10340
"7",335,2018,201801,220456,2018010025937,35,2018002204561,8,815,81508,3,1,35,1,2,58,6,63,14400
"8",420,2018,201801,220542,2018010032499,14,2018002205421,8,816,81608,4,1,14,1,2,30,5,50,0
"9",425,2018,201801,220547,2018010032936,16,2018002205471,8,813,81308,4,1,16,1,2,34,3,30,0
"10",555,2018,201801,220683,2018010041071,9,2018002206831,8,814,81408,4,1,9,1,2,57,6,63,18000
"11",561,2018,201801,220690,2018010041582,38,2018002206901,8,816,81608,4,1,38,1,2,68,6,63,12000
"12",576,2018,201801,220707,2018010042330,39,2018002207071,8,813,81308,4,1,39,1,2,36,6,63,0
"13",580,2018,201801,220711,2018010042675,23,2018002207111,8,815,81508,3,1,23,1,2,68,6,63,10600
"14",640,2018,201801,220773,2018010047744,76,2018002207731,8,815,81508,3,1,76,1,2,69,6,63,10200
"15",654,2018,201801,220787,2018010048229,13,2018002207871,8,815,81508,3,1,13,1,2,52,8,81,32600
"16",669,2018,201801,220803,2018010049355,79,2018002208031,8,812,81208,3,1,79,1,2,65,6,63,9600
"17",671,2018,201801,220805,2018010049610,19,2018002208051,8,816,81608,4,1,19,1,2,44,6,65,8600
"18",678,2018,201801,220812,2018010049900,59,2018002208121,8,815,81508,3,1,59,1,2,52,8,81,32600
"19",791,2018,201801,220926,2018010056605,12,2018002209261,8,816,81608,4,1,12,1,2,34,3,30,0
"20",851,2018,201801,220992,2018010061064,7,2018002209921,8,816,81608,3,1,7,1,2,68,6,63,10600
"21",873,2018,201801,221015,2018010063353,11,2018002210151,8,815,81508,3,1,11,1,2,64,1,11,4300
"22",882,2018,201801,221025,2018010063937,60,2018002210251,8,812,81208,4,1,60,1,2,68,6,63,12000
"23",925,2018,201801,221071,2018010067251,19,2018002210711,8,812,81208,3,1,19,1,2,72,6,63,8800
"24",932,2018,201801,221078,2018010067708,12,2018002210781,8,816,81608,4,1,12,1,2,36,6,63,0
"25",938,2018,201801,221084,2018010068325,19,2018002210841,8,815,81508,4,1,19,1,2,36,6,63,0
"26",942,2018,201801,221088,2018010068821,7,2018002210881,8,812,81208,4,1,7,1,2,44,6,65,8600
"27",949,2018,201801,221095,2018010069560,7,2018002210951,8,812,81208,4,1,7,1,2,68,6,63,12000
